legBeelineDistances	100.0	200.0	500.0	1000.0	2000.0	5000.0	10000.0	20000.0	50000.0	100000.0	1.7976931348623157E308	|	 average 	|	 cnt 	 | 	 sum
education---education	2.0	6.0	41.0	111.0	231.0	310.0	107.0	16.0	1.0	0.0	0.0	|	2848.41607221599	|	825	|	2349943.2595781917
education---home	3.0	14.0	88.0	277.0	788.0	2193.0	2161.0	1754.0	1409.0	472.0	196.0	|	16189.644431016408	|	9355	|	1.514541236521585E8
education---leisure	0.0	3.0	18.0	56.0	140.0	362.0	261.0	77.0	11.0	0.0	0.0	|	4913.274721749078	|	928	|	4559518.941783144
education---other	0.0	2.0	3.0	7.0	27.0	45.0	36.0	5.0	1.0	0.0	0.0	|	4306.150670616035	|	126	|	542574.9844976205
education---shopping	0.0	3.0	11.0	30.0	92.0	186.0	119.0	18.0	3.0	0.0	0.0	|	4159.549655951088	|	462	|	1921711.941049403
education---work	0.0	1.0	6.0	12.0	28.0	30.0	15.0	4.0	0.0	0.0	0.0	|	3180.963396805771	|	96	|	305372.486093354
home---education	3.0	18.0	101.0	307.0	846.0	2396.0	2374.0	1958.0	1519.0	521.0	219.0	|	16243.383241312333	|	10262	|	1.6668959882234716E8
home---leisure	1083.0	359.0	1586.0	3047.0	5927.0	14684.0	9971.0	197.0	15.0	0.0	0.0	|	3512.488865074271	|	36869	|	1.295019519664233E8
home---other	271.0	119.0	433.0	897.0	1605.0	3687.0	2203.0	70.0	8.0	0.0	0.0	|	3330.9511272428067	|	9293	|	3.0954528825467404E7
home---shopping	959.0	314.0	1395.0	2983.0	5495.0	12062.0	7515.0	182.0	12.0	0.0	0.0	|	3338.6077951013003	|	30917	|	1.032197372011469E8
home---work	25.0	78.0	428.0	1317.0	3794.0	10222.0	9944.0	8353.0	6443.0	2242.0	878.0	|	16115.814585443077	|	43724	|	7.046478769339131E8
leisure---education	0.0	1.0	7.0	11.0	24.0	127.0	110.0	52.0	24.0	4.0	6.0	|	10291.797493165219	|	366	|	3766797.88249847
leisure---home	1051.0	332.0	1505.0	2922.0	5756.0	14894.0	10897.0	1182.0	435.0	155.0	53.0	|	4613.928107190905	|	39182	|	1.8078293109595406E8
leisure---leisure	981.0	43.0	211.0	467.0	766.0	1553.0	908.0	128.0	3.0	0.0	0.0	|	2885.738054354295	|	5060	|	1.4601834555032732E7
leisure---other	17.0	3.0	45.0	83.0	165.0	224.0	147.0	21.0	2.0	0.0	0.0	|	3416.736049877308	|	707	|	2415632.3872632566
leisure---shopping	34.0	45.0	161.0	295.0	578.0	1027.0	613.0	92.0	1.0	0.0	0.0	|	3469.53221670087	|	2846	|	9874288.688730676
leisure---work	2.0	4.0	22.0	51.0	164.0	670.0	616.0	243.0	159.0	47.0	25.0	|	11107.985836185813	|	2003	|	2.2249295629880182E7
other---education	0.0	0.0	0.0	1.0	7.0	22.0	27.0	8.0	3.0	3.0	1.0	|	10622.750045113513	|	72	|	764838.0032481729
other---home	234.0	96.0	372.0	778.0	1407.0	3392.0	2250.0	424.0	182.0	73.0	28.0	|	5397.298617502993	|	9236	|	4.9849450031257644E7
other---leisure	9.0	12.0	44.0	77.0	183.0	375.0	204.0	39.0	4.0	0.0	0.0	|	3757.9212766338173	|	947	|	3558751.448972225
other---other	268.0	19.0	58.0	125.0	222.0	389.0	183.0	35.0	2.0	0.0	0.0	|	2700.287755748813	|	1301	|	3513074.370229206
other---shopping	17.0	7.0	76.0	149.0	202.0	441.0	243.0	38.0	1.0	0.0	0.0	|	3415.7166224275716	|	1174	|	4010051.314729969
other---work	1.0	0.0	12.0	34.0	116.0	410.0	407.0	208.0	135.0	55.0	22.0	|	12844.59332150566	|	1400	|	1.7982430650107924E7
shopping---education	0.0	0.0	0.0	5.0	18.0	49.0	54.0	23.0	12.0	3.0	1.0	|	9562.158894884453	|	165	|	1577756.2176559346
shopping---home	918.0	282.0	1316.0	2806.0	5389.0	12444.0	8716.0	1512.0	689.0	254.0	100.0	|	5339.408154031017	|	34426	|	1.838144651106718E8
