legBeelineDistancesOtherBins	2000.0	4000.0	6000.0	8000.0	10000.0	1.7976931348623157E308	|	 average 	|	 cnt 	 | 	 sum
education---education	391.0	252.0	98.0	46.0	21.0	17.0	|	2848.41607221599	|	825	|	2349943.2595781917
education---home	1170.0	1577.0	1194.0	928.0	655.0	3831.0	|	16189.644431016408	|	9355	|	1.514541236521585E8
education---leisure	217.0	256.0	192.0	109.0	66.0	88.0	|	4913.274721749078	|	928	|	4559518.941783144
education---other	39.0	35.0	19.0	15.0	12.0	6.0	|	4306.150670616035	|	126	|	542574.9844976205
education---shopping	136.0	139.0	81.0	59.0	26.0	21.0	|	4159.549655951088	|	462	|	1921711.941049403
education---work	47.0	23.0	10.0	6.0	6.0	4.0	|	3180.963396805771	|	96	|	305372.486093354
home---education	1275.0	1727.0	1310.0	1021.0	712.0	4217.0	|	16243.383241312333	|	10262	|	1.6668959882234716E8
home---leisure	12002.0	10349.0	8240.0	4965.0	1101.0	212.0	|	3512.488865074271	|	36869	|	1.295019519664233E8
home---other	3325.0	2665.0	1946.0	1035.0	244.0	78.0	|	3330.9511272428067	|	9293	|	3.0954528825467404E7
home---shopping	11146.0	8725.0	6283.0	3717.0	852.0	194.0	|	3338.6077951013003	|	30917	|	1.032197372011469E8
home---work	5642.0	7181.0	5673.0	4264.0	3048.0	17916.0	|	16115.814585443077	|	43724	|	7.046478769339131E8
leisure---education	43.0	89.0	69.0	49.0	30.0	86.0	|	10291.797493165219	|	366	|	3766797.88249847
leisure---home	11566.0	10451.0	8479.0	5332.0	1529.0	1825.0	|	4613.928107190905	|	39182	|	1.8078293109595406E8
leisure---leisure	2468.0	1158.0	684.0	405.0	214.0	131.0	|	2885.738054354295	|	5060	|	1.4601834555032732E7
leisure---other	313.0	158.0	104.0	74.0	35.0	23.0	|	3416.736049877308	|	707	|	2415632.3872632566
leisure---shopping	1113.0	782.0	427.0	296.0	135.0	93.0	|	3469.53221670087	|	2846	|	9874288.688730676
leisure---work	243.0	444.0	415.0	287.0	140.0	474.0	|	11107.985836185813	|	2003	|	2.2249295629880182E7
other---education	8.0	14.0	17.0	11.0	7.0	15.0	|	10622.750045113513	|	72	|	764838.0032481729
other---home	2887.0	2422.0	1819.0	1038.0	363.0	707.0	|	5397.298617502993	|	9236	|	4.9849450031257644E7
other---leisure	325.0	272.0	170.0	96.0	41.0	43.0	|	3757.9212766338173	|	947	|	3558751.448972225
other---other	692.0	280.0	170.0	74.0	48.0	37.0	|	2700.287755748813	|	1301	|	3513074.370229206
other---shopping	451.0	341.0	187.0	114.0	42.0	39.0	|	3415.7166224275716	|	1174	|	4010051.314729969
other---work	163.0	290.0	245.0	174.0	108.0	420.0	|	12844.59332150566	|	1400	|	1.7982430650107924E7
shopping---education	23.0	37.0	30.0	23.0	13.0	39.0	|	9562.158894884453	|	165	|	1577756.2176559346
shopping---home	10711.0	8921.0	6647.0	4181.0	1411.0	2555.0	|	5339.408154031017	|	34426	|	1.838144651106718E8
shopping---leisure	1013.0	769.0	470.0	289.0	161.0	105.0	|	3689.029270060804	|	2807	|	1.0355105161060676E7
shopping---other	382.0	239.0	122.0	83.0	49.0	16.0	|	3265.9887966349665	|	891	|	2909996.017801755
shopping---shopping	3670.0	1466.0	873.0	465.0	234.0	154.0	|	2629.5583564880144	|	6862	|	1.8044029442220755E7
shopping---work	368.0	612.0	541.0	372.0	233.0	693.0	|	10713.101856057976	|	2819	|	3.0200234132227432E7
work---education	49.0	34.0	7.0	9.0	3.0	0.0	|	2717.576471458831	|	102	|	277192.8000888007
work---home	4968.0	6482.0	4980.0	3683.0	2720.0	16033.0	|	16180.718084824954	|	38866	|	6.288797890848067E8
work---leisure	773.0	1070.0	725.0	467.0	236.0	282.0	|	4951.054045314235	|	3553	|	1.7591095023001477E7
work---other	461.0	539.0	340.0	246.0	108.0	118.0	|	4630.691741894247	|	1812	|	8390813.436312376
work---shopping	1431.0	1631.0	1150.0	761.0	344.0	392.0	|	4660.0858162633995	|	5709	|	2.6604429925047748E7
work---work	5676.0	3759.0	1494.0	702.0	352.0	221.0	|	2870.507065218301	|	12204	|	3.5031668223924145E7
yy_subpop_null	85187.0	75189.0	55211.0	35396.0	15299.0	51085.0	|	8107.940931625559	|	317367	|	2.5731928896472087E9
zz_mode_car	85187.0	75189.0	55211.0	35396.0	15299.0	51085.0	|	8107.940931625559	|	317367	|	2.5731928896472087E9
zzzzzzz_all	85187.0	75189.0	55211.0	35396.0	15299.0	51085.0	|	8107.940931625559	|	317367	|	2.5731928896472087E9

