legDurations	300.0	600.0	900.0	1200.0	1500.0	1800.0	2100.0	2400.0	2700.0	3000.0	3300.0	3600.0	3900.0	4200.0	4500.0	4800.0	5100.0	5400.0	5700.0	6000.0	6300.0	6600.0	6900.0	7200.0	1.7976931348623157E308	|	 average 	|	 cnt 	 | 	 sum
education---education	271.0	291.0	133.0	54.0	24.0	17.0	8.0	6.0	3.0	4.0	2.0	4.0	4.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	|	596.6812121212121	|	825	|	492262.0
education---home	1003.0	1954.0	1596.0	1138.0	856.0	673.0	452.0	324.0	276.0	196.0	143.0	101.0	80.0	95.0	69.0	49.0	48.0	27.0	41.0	30.0	20.0	25.0	17.0	16.0	126.0	|	1388.9879208979155	|	9355	|	1.2993982E7
education---leisure	204.0	346.0	204.0	72.0	33.0	24.0	13.0	6.0	6.0	6.0	3.0	2.0	2.0	2.0	2.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	|	672.957974137931	|	928	|	624505.0
education---other	40.0	47.0	22.0	7.0	3.0	2.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	|	588.1190476190476	|	126	|	74103.0
education---shopping	126.0	172.0	91.0	25.0	20.0	9.0	7.0	1.0	3.0	1.0	2.0	3.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	|	612.4285714285714	|	462	|	282942.0
education---work	32.0	31.0	16.0	4.0	5.0	3.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	|	626.1770833333334	|	96	|	60113.0
home---education	1049.0	2097.0	1746.0	1317.0	922.0	757.0	526.0	350.0	296.0	219.0	155.0	123.0	96.0	82.0	86.0	56.0	50.0	36.0	44.0	27.0	22.0	29.0	14.0	16.0	147.0	|	1404.0624634574158	|	10262	|	1.4408489E7
home---leisure	12380.0	15062.0	6765.0	1643.0	518.0	208.0	146.0	53.0	43.0	22.0	6.0	9.0	4.0	1.0	1.0	1.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	|	460.71585885160977	|	36869	|	1.6986133E7
home---other	3489.0	3696.0	1483.0	361.0	135.0	53.0	40.0	12.0	8.0	5.0	3.0	5.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	|	438.9969869794469	|	9293	|	4079599.0
home---shopping	11449.0	12284.0	5049.0	1252.0	424.0	195.0	140.0	46.0	24.0	8.0	15.0	11.0	6.0	1.0	5.0	1.0	1.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	|	444.0413364815474	|	30917	|	1.3728426E7
home---work	4775.0	9145.0	7455.0	5298.0	4112.0	2865.0	2129.0	1639.0	1226.0	833.0	682.0	590.0	452.0	360.0	314.0	267.0	208.0	180.0	133.0	117.0	113.0	81.0	82.0	84.0	584.0	|	1386.9065501783916	|	43724	|	6.0641102E7
leisure---education	49.0	105.0	87.0	36.0	25.0	13.0	10.0	11.0	7.0	1.0	5.0	2.0	3.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	3.0	|	1053.2650273224044	|	366	|	385495.0
leisure---home	11895.0	15352.0	7573.0	2261.0	868.0	402.0	266.0	159.0	107.0	63.0	41.0	27.0	32.0	19.0	13.0	19.0	8.0	13.0	12.0	4.0	4.0	5.0	5.0	3.0	31.0	|	533.6643356643357	|	39182	|	2.0910036E7
leisure---leisure	2576.0	1628.0	623.0	153.0	43.0	22.0	5.0	7.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	|	342.0466403162055	|	5060	|	1730756.0
