legDurationsOtherBins	300.0	900.0	1800.0	2700.0	3600.0	1.7976931348623157E308	|	 average 	|	 cnt 	 | 	 sum
education---education	271.0	424.0	95.0	17.0	10.0	8.0	|	596.6812121212121	|	825	|	492262.0
education---home	1003.0	3550.0	2667.0	1052.0	440.0	643.0	|	1388.9879208979155	|	9355	|	1.2993982E7
education---leisure	204.0	550.0	129.0	25.0	11.0	9.0	|	672.957974137931	|	928	|	624505.0
education---other	40.0	69.0	12.0	3.0	1.0	1.0	|	588.1190476190476	|	126	|	74103.0
education---shopping	126.0	263.0	54.0	11.0	6.0	2.0	|	612.4285714285714	|	462	|	282942.0
education---work	32.0	47.0	12.0	3.0	1.0	1.0	|	626.1770833333334	|	96	|	60113.0
home---education	1049.0	3843.0	2996.0	1172.0	497.0	705.0	|	1404.0624634574158	|	10262	|	1.4408489E7
home---leisure	12380.0	21827.0	2369.0	242.0	37.0	14.0	|	460.71585885160977	|	36869	|	1.6986133E7
home---other	3489.0	5179.0	549.0	60.0	13.0	3.0	|	438.9969869794469	|	9293	|	4079599.0
home---shopping	11449.0	17333.0	1871.0	210.0	34.0	20.0	|	444.0413364815474	|	30917	|	1.3728426E7
home---work	4775.0	16600.0	12275.0	4994.0	2105.0	2975.0	|	1386.9065501783916	|	43724	|	6.0641102E7
leisure---education	49.0	192.0	74.0	28.0	8.0	15.0	|	1053.2650273224044	|	366	|	385495.0
leisure---home	11895.0	22925.0	3531.0	532.0	131.0	168.0	|	533.6643356643357	|	39182	|	2.0910036E7
leisure---leisure	2576.0	2251.0	218.0	14.0	1.0	0.0	|	342.0466403162055	|	5060	|	1730756.0
leisure---other	306.0	359.0	36.0	3.0	2.0	1.0	|	415.1725601131542	|	707	|	293527.0
leisure---shopping	1218.0	1448.0	157.0	14.0	6.0	3.0	|	423.3963457484188	|	2846	|	1204986.0
leisure---work	232.0	1042.0	447.0	137.0	70.0	75.0	|	1064.2925611582625	|	2003	|	2131778.0
other---education	9.0	38.0	14.0	6.0	3.0	2.0	|	1026.375	|	72	|	73899.0
other---home	2961.0	5027.0	925.0	181.0	61.0	81.0	|	572.9718492854049	|	9236	|	5291968.0
other---leisure	342.0	539.0	58.0	5.0	1.0	2.0	|	453.59028511087644	|	947	|	429550.0
other---other	709.0	536.0	52.0	3.0	1.0	0.0	|	318.3566487317448	|	1301	|	414182.0
other---shopping	499.0	604.0	58.0	9.0	4.0	0.0	|	419.7853492333901	|	1174	|	492828.0
other---work	160.0	669.0	348.0	114.0	46.0	63.0	|	1144.625	|	1400	|	1602475.0
shopping---education	16.0	95.0	38.0	8.0	4.0	4.0	|	951.5757575757576	|	165	|	157010.0
shopping---home	10842.0	19041.0	3449.0	621.0	201.0	272.0	|	571.1736768721315	|	34426	|	1.9663225E7
shopping---leisure	1087.0	1528.0	163.0	22.0	4.0	3.0	|	437.1325258282864	|	2807	|	1227031.0
shopping---other	415.0	423.0	47.0	3.0	2.0	1.0	|	404.9955106621773	|	891	|	360851.0
shopping---shopping	3838.0	2750.0	232.0	29.0	7.0	6.0	|	321.32279218886623	|	6862	|	2204917.0
shopping---work	356.0	1397.0	668.0	222.0	77.0	99.0	|	1051.7885775097552	|	2819	|	2964992.0
work---education	37.0	47.0	15.0	1.0	1.0	1.0	|	591.1960784313726	|	102	|	60302.0
work---home	4448.0	14808.0	10791.0	4400.0	1809.0	2610.0	|	1373.2992589924356	|	38866	|	5.3374649E7
work---leisure	784.0	2055.0	517.0	117.0	44.0	36.0	|	689.5358851674641	|	3553	|	2449921.0
work---other	472.0	1007.0	237.0	61.0	18.0	17.0	|	651.8184326710817	|	1812	|	1181095.0
work---shopping	1418.0	3257.0	726.0	194.0	65.0	49.0	|	657.7813977929585	|	5709	|	3755274.0
work---work	3897.0	6287.0	1354.0	382.0	125.0	159.0	|	625.6845296624058	|	12204	|	7635854.0
yy_subpop_null	83384.0	158010.0	47184.0	14895.0	5846.0	8048.0	|	801.4956091843197	|	317367	|	2.54368257E8
zz_mode_car	83384.0	158010.0	47184.0	14895.0	5846.0	8048.0	|	801.4956091843197	|	317367	|	2.54368257E8
zzzzzzz_all	83384.0	158010.0	47184.0	14895.0	5846.0	8048.0	|	801.4956091843197	|	317367	|	2.54368257E8

control statistics: average ttime = 801.4956091843197

